country,latitude,longitude,postcode,countryCodeAlpha2,countryCodeAlpha3
USA,61.2181,-149.9003,99509,US,USA
USA,61.2181,-149.9003,99523,US,USA
USA,61.2181,-149.9003,99524,US,USA
USA,32.9137,-87.9925,35448,US,USA
USA,31.156,-85.3559,36304,US,USA
USA,33.5207,-86.8025,35202,US,USA
USA,34.87,-87.7069,35631,US,USA
USA,34.7749,-87.0305,35612,US,USA
USA,30.6589,-88.178,36641,US,USA
USA,33.8887,-93.2041,71721,US,USA
USA,34.1579,-92.0713,71613,US,USA
USA,33.9787,-91.6991,71678,US,USA
USA,34.5645,-92.5868,72018,US,USA
USA,36.0626,-94.1574,72702,US,USA
USA,33.8333,-111.9508,85327,US,USA
USA,34.4839,-114.3225,86405,US,USA
USA,37.9358,-122.3477,94808,US,USA
USA,34.0195,-118.4912,90410,US,USA
USA,33.9472,-118.0853,90671,US,USA
USA,34.1395,-117.9773,91009,US,USA
USA,34.2283,-118.5368,91329,US,USA
USA,34.1733,-118.554,91357,US,USA
USA,34.2364,-118.4847,91393,US,USA
USA,34.1722,-118.379,91611,US,USA
USA,34.1722,-118.379,91615,US,USA
USA,34.698,-118.1367,93584,US,USA
USA,38.0739,-122.5594,94915,US,USA
USA,33.8584,-118.0033,90624,US,USA
USA,33.4409,-117.6211,92674,US,USA
USA,33.9375,-117.2306,92554,US,USA
USA,38.5816,-121.4944,94279,US,USA
USA,38.5816,-121.4944,94298,US,USA
USA,38.6026,-121.4475,95813,US,USA
USA,34.4261,-117.5723,92329,US,USA
USA,32.9628,-117.0359,92074,US,USA
USA,33.3764,-117.2511,92088,US,USA
USA,32.7153,-117.1573,92153,US,USA
USA,32.7153,-117.1573,92166,US,USA
USA,32.7153,-117.1573,92169,US,USA
USA,37.7749,-122.4194,94145,US,USA
USA,37.7749,-122.4194,94146,US,USA
USA,37.7749,-122.4194,94172,US,USA
USA,38.138,-121.205,95253,US,USA
USA,37.6761,-121.433,95378,US,USA
USA,35.2828,-120.6596,93408,US,USA
USA,37.5841,-122.3661,94011,US,USA
USA,37.4419,-122.143,94309,US,USA
USA,41.3082,-72.9282,06506,US,USA
USA,41.3082,-72.9282,06532,US,USA
USA,41.3657,-72.9275,06537,US,USA
USA,38.8933,-77.0146,20013,US,USA
USA,38.8933,-77.0146,20244,US,USA
USA,38.8933,-77.0146,20270,US,USA
USA,38.8933,-77.0146,20372,US,USA
USA,38.9139,-77.0453,20440,US,USA
USA,38.8933,-77.0146,20521,US,USA
USA,39.5645,-75.597,19721,US,USA
USA,39.5645,-75.597,19892,US,USA
USA,39.7459,-75.5466,19895,US,USA
USA,39.5645,-75.597,19896,US,USA
USA,29.4536,-82.1065,32654,US,USA
USA,28.6122,-80.8076,32783,US,USA
USA,28.0836,-80.6081,32902,US,USA
USA,28.0345,-80.5887,32911,US,USA
USA,26.0134,-80.1442,33022,US,USA
USA,26.0892,-80.336,33335,US,USA
USA,28.8049,-82.5743,34447,US,USA
USA,30.4213,-87.2169,32522,US,USA
USA,25.7743,-80.1937,33238,US,USA
USA,28.5663,-81.2608,32867,US,USA
USA,26.3587,-80.0831,33497,US,USA
USA,27.3822,-80.409,34954,US,USA
USA,29.1091,-80.9843,32116,US,USA
USA,29.2108,-81.0228,32126,US,USA
USA,28.7676,-81.3522,32745,US,USA
USA,32.8067,-83.6913,31209,US,USA
USA,34.234,-84.4904,30169,US,USA
USA,33.7454,-84.1316,30074,US,USA
USA,33.749,-84.388,30302,US,USA
USA,33.749,-84.388,30353,US,USA
USA,34.684,-84.4727,30539,US,USA
USA,34.569,-84.7119,30732,US,USA
USA,33.386,-82.091,30914,US,USA
USA,31.2137,-82.3557,31502,US,USA
USA,33.4599,-82.5901,30819,US,USA
USA,19.5935,-155.438,96745,US,USA
USA,21.294,-157.8226,96828,US,USA
USA,42.0387,-94.1436,50031,US,USA
USA,42.7262,-95.1853,50592,US,USA
USA,42.1103,-88.0342,60094,US,USA
USA,41.8684,-87.6649,60696,US,USA
USA,42.4333,-87.7766,60086,US,USA
USA,38.3043,-90.1356,62256,US,USA
USA,40.7425,-89.6279,61613,US,USA
USA,40.7442,-89.7184,61643,US,USA
USA,39.8061,-89.5864,62708,US,USA
USA,39.7495,-89.606,62767,US,USA
USA,39.7495,-89.606,62791,US,USA
USA,38.4034,-87.8187,62855,US,USA
USA,42.3254,-89.1705,61132,US,USA
USA,39.2014,-85.9214,47202,US,USA
USA,38.9745,-85.9628,47228,US,USA
USA,39.7795,-86.1328,46209,US,USA
USA,37.9971,-87.575,47706,US,USA
USA,39.3712,-87.4759,47870,US,USA
USA,38.8999,-94.832,66282,US,USA
USA,37.9412,-97.8711,67585,US,USA
USA,38.0283,-84.4715,40524,US,USA
USA,38.0283,-84.4715,40583,US,USA
USA,38.3501,-83.5271,41065,US,USA
USA,37.8072,-87.5991,42419,US,USA
USA,37.8323,-87.7889,42457,US,USA
USA,38.2542,-85.7594,40294,US,USA
USA,37.279,-82.5773,41520,US,USA
USA,39.4093,-76.6486,21139,US,USA
USA,38.9807,-77.1003,20824,US,USA
USA,38.9907,-77.0261,20997,US,USA
USA,44.413,-68.798,04420,US,USA
USA,43.0327,-83.6463,48556,US,USA
USA,42.5992,-84.372,48805,US,USA
USA,42.2454,-85.5299,49019,US,USA
USA,43.0314,-85.5503,49515,US,USA
USA,43.0314,-85.5503,49530,US,USA
USA,42.4775,-83.0277,48090,US,USA
USA,44.5472,-93.1531,55010,US,USA
USA,45.0159,-93.4719,55573,US,USA
USA,46.0394,-94.0633,56344,US,USA
USA,38.9376,-92.3304,65212,US,USA
USA,37.2153,-93.2982,65898,US,USA
USA,37.7348,-89.8116,63776,US,USA
USA,37.9514,-91.7713,65402,US,USA
USA,38.6531,-90.2435,63178,US,USA
USA,33.7179,-88.9478,39754,US,USA
USA,32.2988,-90.1848,39215,US,USA
USA,33.5163,-88.4601,39710,US,USA
USA,33.8698,-88.4622,38825,US,USA
USA,34.6126,-88.5822,38880,US,USA
USA,33.4096,-90.9104,38776,US,USA
USA,45.8252,-108.3934,59107,US,USA
USA,45.7833,-108.5007,59116,US,USA
USA,34.9917,-84.1677,28903,US,USA
USA,36.0512,-78.8577,27711,US,USA
USA,35.2271,-80.8431,28236,US,USA
USA,35.26,-80.8042,28254,US,USA
USA,35.2803,-79.4327,28388,US,USA
USA,35.8979,-77.7935,27815,US,USA
USA,34.0881,-77.8526,28407,US,USA
USA,35.2247,-81.8851,28074,US,USA
USA,35.7977,-78.6253,27656,US,USA
USA,36.2092,-81.7789,28691,US,USA
USA,40.5896,-98.3972,68902,US,USA
USA,41.2586,-95.9378,68120,US,USA
USA,41.2563,-95.9404,68197,US,USA
USA,43.589,-71.4455,03247,US,USA
USA,43.4686,-71.5371,03252,US,USA
USA,42.7654,-71.4676,03061,US,USA
USA,43.0718,-70.7626,03804,US,USA
USA,40.8463,-74.0611,07699,US,USA
USA,40.0115,-75.0149,08076,US,USA
USA,40.7357,-74.1724,07192,US,USA
USA,40.7357,-74.1724,07195,US,USA
USA,40.7918,-74.2452,07198,US,USA
USA,40.4862,-74.4518,08933,US,USA
USA,40.8229,-74.6257,07845,US,USA
USA,40.0026,-74.0604,08739,US,USA
USA,35.0845,-106.6511,87158,US,USA
USA,35.0443,-106.6729,87176,US,USA
USA,42.8227,-76.802,13065,US,USA
USA,43.1344,-76.7656,13154,US,USA
USA,40.9206,-82.2817,44848,US,USA
USA,40.1022,-83.8379,43083,US,USA
USA,41.4995,-81.6954,44192,US,USA
USA,41.0442,-83.6499,45839,US,USA
USA,40.4017,-81.0309,43984,US,USA
USA,39.7581,-84.2001,45422,US,USA
USA,40.3234,-81.3084,44679,US,USA
USA,35.4676,-97.5164,73136,US,USA
USA,35.5514,-97.4075,73148,US,USA
USA,34.9334,-95.7697,74502,US,USA
USA,36.1398,-96.0297,74153,US,USA
USA,44.0915,-121.4073,97703,US,USA
USA,43.5099,-118.0986,97917,US,USA
USA,44.9849,-122.9988,97313,US,USA
USA,45.5235,-122.6762,97238,US,USA
USA,45.5235,-122.6762,97280,US,USA
USA,45.5235,-122.6762,97290,US,USA
USA,40.0157,-77.2001,17337,US,USA
USA,40.6367,-78.3036,16684,US,USA
USA,39.749,-75.8241,19347,US,USA
USA,39.9832,-75.7481,19397,US,USA
USA,39.8851,-75.5202,19340,US,USA
USA,41.9031,-79.7437,16413,US,USA
USA,40.0367,-76.1069,17534,US,USA
USA,40.6934,-75.4712,18003,US,USA
USA,40.0018,-75.1179,19092,US,USA
USA,39.9522,-75.1642,19176,US,USA
USA,40.0208,-79.0123,15549,US,USA
USA,40.3018,-80.1543,15339,US,USA
USA,40.075,-77.0279,17323,US,USA
USA,39.8246,-76.8993,17354,US,USA
USA,33.5604,-81.7196,29802,US,USA
USA,32.8488,-79.8577,29413,US,USA
USA,33.0023,-80.2267,29484,US,USA
USA,33.9252,-81.2483,29228,US,USA
USA,34.6857,-82.9532,29679,US,USA
USA,36.5314,-87.353,37044,US,USA
USA,35.2017,-89.9715,38136,US,USA
USA,33.4251,-94.0477,75507,US,USA
USA,30.7871,-96.2641,77862,US,USA
USA,25.9017,-97.4975,78522,US,USA
USA,33.3627,-96.4635,75485,US,USA
USA,32.9126,-96.6389,75047,US,USA
USA,32.7673,-96.7776,75250,US,USA
USA,35.9279,-114.9721,89016,US,USA
USA,35.1604,-114.7464,89028,US,USA
USA,42.0805,-76.0973,13737,US,USA
USA,42.2983,-79.0062,14751,US,USA
USA,42.6856,-78.7767,14110,US,USA
USA,43.286,-77.6843,14652,US,USA
USA,40.7808,-73.9772,10087,US,USA
USA,40.7506,-73.9894,10120,US,USA
USA,40.7808,-73.9772,10163,US,USA
USA,43.1009,-75.2327,13505,US,USA
USA,43.1009,-75.2327,13599,US,USA
USA,43.0214,-76.1977,13225,US,USA
USA,32.6076,-93.7526,71120,US,USA
USA,32.0344,-92.1381,71415,US,USA
USA,30.4613,-91.0447,70821,US,USA
USA,30.5159,-91.0804,70879,US,USA
USA,30.2891,-91.2343,70765,US,USA
